id,q_id,method,retrieve_text,score,source
68cd56ec-62fb-4020-9908-486041385c2d,1,固定大小,"�國際的新語言。

從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正
走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據",0.529296875,data_02.txt
907a3629-7f38-47d7-bf08-bcc09abd9b99,1,滑動視窗,"�排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片。

校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；後者則是搭配地理影像控制與數值地形模型，校準每一�",0.763671875,data_02.txt
8958dd50-986b-40b4-a2b0-e2b99595e8b1,1,語意切塊,校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；,0.866699219,data_02.txt
ef4ccb42-928b-4c8e-b008-f462e8b305bd,2,固定大小,"，不只是醫師本身、更是全體社會。
2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票",0.69140625,data_03.txt
96c08afc-30d7-4aa0-8181-b67ba819731a,2,滑動視窗,"醫療的價值與真諦。而守護這個價值的任務，不只是醫師本身、更是全體社會。
2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健",0.666015625,data_03.txt
8a811c52-2d5c-43a3-b684-b3e9865cd95e,2,語意切塊,我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度。,0.711914063,data_03.txt
b5c8c420-bd52-49c6-8e2c-b937008271ce,3,固定大小,"�於政府施政不力的憤怒情緒，示威行動亦從首都德黑蘭，迅速蔓延至全國各級城市。

事實上，撼動伊朗政局的這波經濟危機，背後主要有三大原因：

國際社會重新收緊的經濟制裁與石油禁運；
2025年6月以色列與美國對伊朗發動的跨境空襲；
極端氣候引發的空前乾旱。
自1979年伊朗伊斯蘭革命以來，伊朗便長期遭到歐美各國的經濟孤立。進入2000年代後，以美國為首的�",0.671875,data_01.txt
9e02551c-3bb1-4841-ab3c-5d836d10a720,3,滑動視窗,"爭行列──此舉，大幅升級並凝聚了伊朗國內對於政府施政不力的憤怒情緒，示威行動亦從首都德黑蘭，迅速蔓延至全國各級城市。

事實上，撼動伊朗政局的這波經濟危機，背後主要有三大原因：

國際社會重新收緊的經濟制裁與石油禁運；
2025年6月以色列與美國對伊朗發動的跨境空襲；
極端氣候引發的空前乾旱。
自1979年伊朗伊斯蘭革命以來，伊朗便長期遭到歐美各",0.686035156,data_01.txt
1f912f85-5f95-4f04-9ae9-25591cb16677,3,語意切塊,由於不滿政府無力回應失控的物價通膨與瀕臨崩潰的國內經濟，自2025年12月底起，伊朗各地陸續爆發大規模罷工、罷市與示威抗爭；,0.581054688,data_01.txt
d358360c-ba12-4f09-b591-f1b48644db8c,4,固定大小,"�政象徵。

但巴勒維王朝的覆滅，已經是47年前的往事。對於國民年齡中位數只有34歲、6成人口都在40歲以下的現代伊朗而言，舊王朝的威權暴政已是上一代的陌生歷史，但對伊朗伊斯蘭共和國的失望與憤怒卻還是現實裡的日常進行式。因此，當伊朗街頭響起「讓巴勒維王朝回來統治我們」、「國王萬歲！」之際，這些口號反映的其實不是對君主統治的懷念與擁戴，而更像是一種情",0.801757813,data_01.txt
